0, 33342 MiB, 65536 MiB, 43, 45, 40.10 W
1, 42312 MiB, 65536 MiB, 41, 54, 44.49 W
2, 41646 MiB, 65536 MiB, 43, 55, 40.64 W
3, 32656 MiB, 65536 MiB, 41, 53, 41.82 W
