2026-09-02T12:01:06Z,0, 40.35 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:06Z,1, 45.05 W, 43, 0 %, 50288 MiB
2026-09-02T12:01:06Z,2, 40.65 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:06Z,3, 41.98 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:07Z,0, 40.26 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:07Z,1, 45.05 W, 43, 0 %, 50288 MiB
2026-09-02T12:01:07Z,2, 40.76 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:07Z,3, 42.07 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:08Z,0, 40.25 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:08Z,1, 45.04 W, 43, 0 %, 50288 MiB
2026-09-02T12:01:08Z,2, 40.64 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:08Z,3, 41.96 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:09Z,0, 40.27 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:09Z,1, 44.95 W, 43, 0 %, 50288 MiB
2026-09-02T12:01:09Z,2, 40.76 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:09Z,3, 41.97 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:10Z,0, 40.26 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:10Z,1, 44.95 W, 43, 0 %, 50288 MiB
2026-09-02T12:01:10Z,2, 40.75 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:10Z,3, 41.87 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:11Z,0, 40.34 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:11Z,1, 45.04 W, 42, 0 %, 50288 MiB
2026-09-02T12:01:11Z,2, 40.65 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:11Z,3, 41.87 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:12Z,0, 40.34 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:12Z,1, 44.94 W, 42, 0 %, 50288 MiB
2026-09-02T12:01:12Z,2, 40.74 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:12Z,3, 41.87 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:13Z,0, 40.25 W, 43, 0 %, 51290 MiB
2026-09-02T12:01:13Z,1, 44.95 W, 42, 0 %, 50288 MiB
2026-09-02T12:01:13Z,2, 40.65 W, 43, 0 %, 51672 MiB
2026-09-02T12:01:13Z,3, 41.97 W, 42, 0 %, 60590 MiB
2026-09-02T12:01:14Z,0, 89.34 W, 45, 84 %, 51290 MiB
2026-09-02T12:01:14Z,1, 91.65 W, 46, 79 %, 50288 MiB
2026-09-02T12:01:14Z,2, 105.73 W, 45, 61 %, 51672 MiB
2026-09-02T12:01:14Z,3, 134.10 W, 45, 48 %, 60590 MiB
2026-09-02T12:01:16Z,0, 68.94 W, 46, 86 %, 51290 MiB
2026-09-02T12:01:16Z,1, 158.67 W, 46, 81 %, 50288 MiB
2026-09-02T12:01:16Z,2, 71.35 W, 45, 62 %, 51672 MiB
2026-09-02T12:01:16Z,3, 83.78 W, 45, 45 %, 60590 MiB
2026-09-02T12:01:17Z,0, 73.73 W, 46, 87 %, 51290 MiB
2026-09-02T12:01:17Z,1, 87.01 W, 46, 74 %, 50288 MiB
2026-09-02T12:01:17Z,2, 92.79 W, 46, 63 %, 51672 MiB
2026-09-02T12:01:17Z,3, 105.35 W, 46, 60 %, 60590 MiB
2026-09-02T12:01:18Z,0, 119.95 W, 46, 84 %, 51290 MiB
2026-09-02T12:01:18Z,1, 128.52 W, 47, 80 %, 50288 MiB
2026-09-02T12:01:18Z,2, 69.17 W, 46, 60 %, 51672 MiB
2026-09-02T12:01:18Z,3, 78.90 W, 46, 45 %, 60590 MiB
2026-09-02T12:01:19Z,0, 54.86 W, 45, 0 %, 51290 MiB
2026-09-02T12:01:19Z,1, 70.62 W, 45, 42 %, 50288 MiB
2026-09-02T12:01:19Z,2, 55.33 W, 45, 35 %, 51672 MiB
2026-09-02T12:01:19Z,3, 62.48 W, 44, 7 %, 60590 MiB
2026-09-02T12:01:20Z,0, 54.48 W, 45, 0 %, 51290 MiB
2026-09-02T12:01:20Z,1, 70.13 W, 45, 0 %, 50288 MiB
2026-09-02T12:01:20Z,2, 55.04 W, 44, 0 %, 51672 MiB
2026-09-02T12:01:20Z,3, 62.38 W, 44, 0 %, 60590 MiB
2026-09-02T12:01:21Z,0, 119.28 W, 45, 84 %, 51290 MiB
2026-09-02T12:01:21Z,1, 80.07 W, 46, 82 %, 50288 MiB
2026-09-02T12:01:21Z,2, 82.08 W, 45, 60 %, 51672 MiB
2026-09-02T12:01:21Z,3, 95.17 W, 45, 36 %, 60590 MiB
2026-09-02T12:01:22Z,0, 64.94 W, 46, 82 %, 51290 MiB
2026-09-02T12:01:22Z,1, 92.05 W, 47, 77 %, 50288 MiB
2026-09-02T12:01:22Z,2, 115.50 W, 46, 57 %, 51672 MiB
2026-09-02T12:01:22Z,3, 134.58 W, 46, 35 %, 60590 MiB
2026-09-02T12:01:23Z,0, 54.67 W, 45, 3 %, 51290 MiB
2026-09-02T12:01:23Z,1, 70.42 W, 46, 56 %, 50288 MiB
2026-09-02T12:01:23Z,2, 55.42 W, 45, 48 %, 51672 MiB
2026-09-02T12:01:23Z,3, 62.28 W, 45, 14 %, 60590 MiB
2026-09-02T12:01:24Z,0, 54.57 W, 45, 0 %, 51290 MiB
2026-09-02T12:01:24Z,1, 70.13 W, 45, 0 %, 50288 MiB
2026-09-02T12:01:24Z,2, 55.24 W, 45, 0 %, 51672 MiB
2026-09-02T12:01:24Z,3, 62.19 W, 44, 0 %, 60590 MiB
2026-09-02T12:01:25Z,0, 114.69 W, 46, 86 %, 51290 MiB
2026-09-02T12:01:25Z,1, 80.93 W, 46, 81 %, 50288 MiB
2026-09-02T12:01:25Z,2, 82.43 W, 45, 66 %, 51672 MiB
2026-09-02T12:01:25Z,3, 96.55 W, 45, 41 %, 60590 MiB
2026-09-02T12:01:27Z,0, 56.59 W, 45, 85 %, 51290 MiB
2026-09-02T12:01:27Z,1, 76.33 W, 46, 61 %, 50288 MiB
2026-09-02T12:01:27Z,2, 60.62 W, 45, 33 %, 51672 MiB
2026-09-02T12:01:27Z,3, 65.17 W, 45, 6 %, 60590 MiB
2026-09-02T12:01:28Z,0, 68.21 W, 47, 83 %, 51290 MiB
2026-09-02T12:01:28Z,1, 162.43 W, 48, 82 %, 50288 MiB
2026-09-02T12:01:28Z,2, 77.82 W, 46, 65 %, 51672 MiB
2026-09-02T12:01:28Z,3, 85.05 W, 46, 45 %, 60590 MiB
2026-09-02T12:01:29Z,0, 55.08 W, 45, 0 %, 51290 MiB
2026-09-02T12:01:29Z,1, 70.44 W, 46, 0 %, 50288 MiB
2026-09-02T12:01:29Z,2, 55.54 W, 45, 0 %, 51672 MiB
2026-09-02T12:01:29Z,3, 62.22 W, 45, 0 %, 60590 MiB
2026-09-02T12:01:30Z,0, 54.85 W, 45, 0 %, 51290 MiB
2026-09-02T12:01:30Z,1, 70.11 W, 46, 0 %, 50288 MiB
2026-09-02T12:01:30Z,2, 55.30 W, 45, 0 %, 51672 MiB
2026-09-02T12:01:30Z,3, 62.00 W, 45, 0 %, 60590 MiB
2026-09-02T12:01:31Z,0, 40.72 W, 44, 0 %, 51290 MiB
2026-09-02T12:01:31Z,1, 45.45 W, 44, 0 %, 50288 MiB
2026-09-02T12:01:31Z,2, 41.13 W, 44, 0 %, 51672 MiB
2026-09-02T12:01:31Z,3, 42.18 W, 44, 0 %, 60590 MiB
2026-09-02T12:01:32Z,0, 40.63 W, 44, 0 %, 51290 MiB
2026-09-02T12:01:32Z,1, 45.44 W, 44, 0 %, 50288 MiB
2026-09-02T12:01:32Z,2, 41.14 W, 44, 0 %, 51672 MiB
2026-09-02T12:01:32Z,3, 42.28 W, 43, 0 %, 60590 MiB
2026-09-02T12:01:33Z,0, 40.73 W, 44, 0 %, 51290 MiB
2026-09-02T12:01:33Z,1, 45.35 W, 44, 0 %, 50288 MiB
2026-09-02T12:01:33Z,2, 41.04 W, 44, 0 %, 51672 MiB
2026-09-02T12:01:33Z,3, 42.16 W, 43, 0 %, 60590 MiB
2026-09-02T12:01:34Z,0, 156.65 W, 47, 87 %, 51290 MiB
2026-09-02T12:01:34Z,1, 106.77 W, 47, 82 %, 50288 MiB
2026-09-02T12:01:34Z,2, 90.41 W, 46, 73 %, 51672 MiB
2026-09-02T12:01:34Z,3, 130.34 W, 46, 60 %, 60590 MiB
2026-09-02T12:01:35Z,0, 86.03 W, 47, 84 %, 51290 MiB
2026-09-02T12:01:35Z,1, 112.55 W, 48, 83 %, 50288 MiB
2026-09-02T12:01:35Z,2, 108.65 W, 47, 68 %, 51672 MiB
2026-09-02T12:01:35Z,3, 171.63 W, 47, 53 %, 60590 MiB
2026-09-02T12:01:37Z,0, 79.78 W, 47, 89 %, 51290 MiB
2026-09-02T12:01:37Z,1, 127.06 W, 48, 87 %, 50288 MiB
2026-09-02T12:01:37Z,2, 71.37 W, 47, 67 %, 51672 MiB
2026-09-02T12:01:37Z,3, 76.05 W, 47, 50 %, 60590 MiB
2026-09-02T12:01:38Z,0, 70.73 W, 47, 89 %, 51290 MiB
